tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
10/1/2021,7.4,0,0,37.2,5,1.8,0,13.8,0,0,0,0,0,29.6,12,14,17.5,0,0,0,0,0,0,0,0,0
10/2/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2021,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2021,3.4,10,5.4,21,0.4,17.8,0.2,0,37,21,3,17,10,21.9,7,4,4,0,8.9,8,0,7,3,27,6,6
10/6/2021,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2021,0.4,0,0,0.4,0,0.6,3,0,0,0,2,1,,0,3,0,0,0,2.1,0,0,0,2,0,0,0
10/8/2021,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/2021,0,0,0,0,0,0,0,16,0,0,0,0,0,8.2,8,0,5,0,0,0,0,0,0,0,0,0
10/10/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2021,0,0,0,0,0.4,0,0,8.8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
10/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,1,0,1.6,0,0,0,0,0,0,0
10/13/2021,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/14/2021,0,0,0,0,0.4,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0.5,0,8,0,0,0,0,0
10/16/2021,0,0,0,0,3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2021,0,0,0,0,0.4,0,0,16.4,0,0,0,5,0,,0,6,,0,0,0,4,0,0,1,0,3
10/19/2021,0.4,8.6,6,5.4,0.4,3,0.6,16.2,44,5,10,30,26.5,45.6,12,20.5,22,15,14.1,21,29,21,16,16,17,12
10/20/2021,0,0,0,0,0,0,0.2,10.8,25,18,17,19,0,0.3,0,1,,0,0,0,4,0,0,0,0,0
10/21/2021,27.4,8.2,36.6,52.8,0.2,39.6,0.2,18.4,0,0,0,0,41,15.6,116,2,1,17,38.9,30,10,66,64,36,64,18
10/22/2021,2.2,0,10.8,16,0.2,0.6,1.2,8.4,26,56,64,102,0,,0.3,0,0,0,0,7,0,18,19,21,0,0
10/23/2021,0,0.2,0,0,0,0,0.4,0,2,0,0,0,0,0.1,0,0,0,0,47.6,0,0,0,0,0,0,0
10/24/2021,0,0,0,0,0,0,0.6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/2021,0,0,0,0,,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26/2021,13.6,0,0.2,19,,0,0.6,0.4,0,0,0,0,0,0,9,0,0,0,37.6,0,0,29,27,5,18,5
10/27/2021,1,2.2,0.6,0,,0.2,1,0,3,20,0,0,3,8.7,30,8,4.5,1,15.3,1,0,3,4,0,9,1
10/28/2021,5.2,167.4,49,27.2,,24.2,9.4,31.2,16,28,43,53,93,39.6,7,39,34.5,7,4.3,29,58,11,8,10,9,3
10/29/2021,5.6,1.6,7.6,2,,21.6,18.8,6.6,8,2,1,9,1,3.7,3,9.5,11,12,6.2,1,10,6,4,8,2,0
10/30/2021,0,0,0,0,,0.6,0,0.2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2021,,0,6.2,2.8,,2.2,0.2,3.6,0,2,8,8,,4.4,1,1,1,0,,1,17,1,1,0,0,2
11/1/2021,,0,0,0,,0,0.4,34.4,0,0,0,1,2,0.5,0,1,1.5,0,0,0,5,0,0,0,0,0
11/2/2021,,2.8,4,33.6,,2,0.4,30.2,0,11,4,12,3,44.7,37,66,58,3,15.6,21,142,26,8,0,10,3
