tanggal,pasrujambe,pronojiwo,pasirian,jokarto
12/1/2021,0,0,0,0
12/2/2021,,,0,
12/3/2021,0,0,0,0
12/4/2021,0,0,2.8,0
12/5/2021,0,0,0,0
12/6/2021,0,0,0,0
12/7/2021,0,0.4,0,0
12/8/2021,0,0,0,0
12/9/2021,0,0,0,0
12/10/2021,0,0,0,0
12/11/2021,0,0,0,0
12/12/2021,,0,0,0
12/13/2021,,,,
12/14/2021,,,0,
12/15/2021,,0,0,0
12/16/2021,,0,0,0
12/17/2021,0,0,0,0
12/18/2021,0,0,0,0
12/19/2021,0,0,1.8,0
12/20/2021,0,0,0,0
12/21/2021,0,82.8,0,0
12/22/2021,0,0,0,0
12/23/2021,0,0,0,0
12/24/2021,0,0,0,0
12/25/2021,0,0,0,0
12/26/2021,0,,0.2,0
12/27/2021,,,0,0
12/28/2021,0,,0,0
12/29/2021,0,,0,0
12/30/2021,0,0,0,6.6
12/31/2021,0,100.4,72.2,14.2
1/1/2022,0,11.4,67.8,16.8
1/2/2022,0,97.4,100,18.8
1/3/2022,0,1409,91.6,23.8
1/4/2022,0,237.2,0,0
1/5/2022,0,1660.4,0.6,0
1/6/2022,0,0,10.4,53.6
1/7/2022,0,0,0,0
1/8/2022,0,0,0,0
1/9/2022,0,14,0.4,0
1/10/2022,0,95.8,36,12
1/11/2022,0,194.4,14.8,0.4
1/12/2022,0,372.8,7.8,2
1/13/2022,0,103.8,139.2,8.6
1/14/2022,0,152.4,19.8,30.6
1/15/2022,0,0,0,0
1/16/2022,0,679.8,191,303.8
1/17/2022,0,488.6,0.8,0.4
1/18/2022,0,45.8,10.4,51.8
1/19/2022,0,424,87.4,27.4
1/20/2022,0,172,389.4,14.4
1/21/2022,0,350.8,77.6,28.4
1/22/2022,0,0.6,10.2,0
1/23/2022,0,0,0,0
1/24/2022,0,0,0,2.2
1/25/2022,0,0,0,0
1/26/2022,0,0,0,11.6
1/27/2022,0,0,25.4,7.8
1/28/2022,0,0.2,26,25.2
1/29/2022,0,13.4,16.6,38.6
1/30/2022,0,18.6,42.8,3.8
1/31/2022,0,0,5.6,31.8
2/1/2022,0,10.8,120.2,19.2
2/2/2022,0,2.4,26.4,15.4
2/3/2022,0,41.2,0,0
2/4/2022,0,21.2,3.4,1
2/5/2022,0,0.2,0,0
2/6/2022,0,6.6,37.6,1.8
2/7/2022,0,55.6,68.8,25
2/8/2022,0,31.6,5,3.2
2/9/2022,0,18.8,11.2,5.8
2/10/2022,0,20.8,10.6,2
2/11/2022,0,27,88.4,15.8
2/12/2022,0,2,0,0
2/13/2022,0,7.2,0.6,0
2/14/2022,0,676.6,10.2,7.6
2/15/2022,0,11.2,7.2,4
2/16/2022,0,9.6,9.6,4.8
2/17/2022,0,19,54.6,5.2
2/18/2022,0,0,0,0
2/19/2022,0,4.8,4,20
2/20/2022,0,72.8,17.6,8.8
2/21/2022,0,11.4,6.6,0.2
2/22/2022,0,9.6,4.8,2
2/23/2022,0,0.8,0,0
2/24/2022,0,0.4,0.2,0.2
2/25/2022,0,0,40,0.6
2/26/2022,0,197,1.2,24
2/27/2022,0,47.4,30.8,2.2
2/28/2022,0,29.2,2.6,1.4
3/1/2022,0,53.4,19.6,1
3/2/2022,0,223.8,0,0
3/3/2022,0,69.6,96.8,5
3/4/2022,0,194.6,354.8,45.6
3/5/2022,0,22.2,1.2,1.4
3/6/2022,0,0,0,0
3/7/2022,0,8,9.6,1.6
3/8/2022,0,7.4,0,0.4
3/9/2022,0,98.2,30.4,7.4
3/10/2022,0,39.2,36.4,9
3/11/2022,0,61.6,9.6,3.6
3/12/2022,0,17,19.8,2
3/13/2022,0,0,39.2,33
3/14/2022,0,13.6,28.8,3.8
3/15/2022,0,74.4,104.8,69.2
3/16/2022,0,85.8,109,84.8
3/17/2022,0,11.8,13.2,14.8
3/18/2022,0,1,0,11.8
3/19/2022,0,30,33.2,1.6
3/20/2022,0,0.8,28.6,1.2
3/21/2022,0,27.8,73.4,37.8
3/22/2022,0,278.6,217,16.2
3/23/2022,0,51,6.6,7.6
3/24/2022,0,1395,4.2,7.4
3/25/2022,0,1182.8,108.8,23.4
3/26/2022,0,988.8,0,0
3/27/2022,0,998,11,1.2
3/28/2022,0,1.2,0,0
3/29/2022,0,136.2,145.2,32.2
3/30/2022,0,275.2,0,0
3/31/2022,0,551.2,1.8,0
4/1/2022,0,297.2,0,0
4/2/2022,0,105.8,1.4,23.2
4/3/2022,0,0.4,0,0
4/4/2022,0,0,3,0.6
4/5/2022,0,0.2,16.4,2
4/6/2022,0,0.4,26.4,2.4
4/7/2022,0,39.6,2.4,1.2
4/8/2022,0,0.6,0,0
4/9/2022,0,0,0,0
4/10/2022,0,0,0.4,0
4/11/2022,0,0,0.8,0
