Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
01/10/2021 00:00;31.2;29.5;27.6;8.1;24.8;75.8;1.9;5.1;10.7
02/10/2021 00:00;30.5;28.8;26.4;3.3;24.1;76.2;2.1;5.1;4
03/10/2021 00:00;32.7;29.7;26.8;3.8;23.6;69.8;1.8;3.1;3.4
04/10/2021 00:00;32.8;28.8;26.4;4.3;23.4;72.6;2.3;5.7;8.5
05/10/2021 00:00;32.6;29.5;26.7;7;23.4;69.7;2;4.6;3.3
06/10/2021 00:00;31.7;29;26.4;3.6;23.8;73.6;2;4.1;8.2
07/10/2021 00:00;32.4;29.7;26.6;5.5;23;67.2;1.9;4.6;7
08/10/2021 00:00;32.3;29.6;26.9;4.9;24;71.6;1.8;4.1;8.2
09/10/2021 00:00;33.2;30.3;27.6;9.1;24.1;69.3;2.1;4.1;8.8
10/10/2021 00:00;33.2;30.2;27.6;1.8;24.4;70.9;2;5.1;8.2
11/10/2021 00:00;33.2;29.9;27;5.2;23.3;67.8;1.5;4.6;5.1
12/10/2021 00:00;32.8;30.5;27.8;9999;23.6;66.5;2;5.7;9999
13/10/2021 00:00;33.1;30.4;27.8;6.1;23.6;67.1;1.4;4.6;5.6
14/10/2021 00:00;33.3;30.6;28.1;5.1;24.6;70.4;1.8;4.6;7.9
15/10/2021 00:00;33.8;30.2;27.6;5.6;23.9;69.1;2.3;4.6;2.4
16/10/2021 00:00;33.2;30.4;27.2;5;24.4;70.5;2;3.6;10.8
17/10/2021 00:00;32.8;30.2;24.6;5.7;25;73.9;2.8;5.1;8.4
18/10/2021 00:00;27.2;26;25.4;4.2;24.3;90.6;.7;4.6;10.7
19/10/2021 00:00;31.8;28.6;25.8;.8;23.7;74.6;2.4;6.2;0
20/10/2021 00:00;32;28.7;24.4;3.6;24.3;77.3;1.8;3.6;5.3
21/10/2021 00:00;32.4;29.3;26.5;12.9;24.7;76.4;2.1;3.6;7.3
22/10/2021 00:00;31.8;29.2;26.4;2.6;24.4;75.6;1.5;4.1;7.2
23/10/2021 00:00;32;29.7;26.6;5.2;24.6;74.5;1.6;4.1;5.1
24/10/2021 00:00;33;30.6;28.1;4.9;24.7;70.9;1.4;4.6;6.1
25/10/2021 00:00;33.2;29.6;26.8;6.2;23.8;71.3;1.4;6.2;11.2
26/10/2021 00:00;33.2;30;26.1;3.7;24.4;71.9;2.3;3.6;9.3
27/10/2021 00:00;31.8;28.2;25.4;5.7;24.8;82.1;1.8;4.6;8.7
28/10/2021 00:00;31.1;27.2;25.3;4;24.2;83.4;2.2;7.7;5.2
29/10/2021 00:00;32.4;29.6;26.1;5.2;23.9;71.9;.1;1.5;0
30/10/2021 00:00;32;28.9;26.6;7.5;24.5;77;1.5;4.1;9.8
31/10/2021 00:00;32.9;29.2;27.2;5.9;24.5;75.9;1.1;4.1;9.6
01/11/2021 00:00;31.5;27.9;25.9;4.6;24.6;82.4;1.7;3.6;6.6
02/11/2021 00:00;31.8;28.6;26.2;4;23.7;75.3;2.1;6.7;1.5
03/11/2021 00:00;32.6;29.2;26.4;4.7;24.4;75.6;1.4;3.6;8.7
04/11/2021 00:00;32.6;28.9;26.9;4.5;24.7;78;1.8;6.2;8.4
05/11/2021 00:00;29.5;27.8;26;3.3;24.2;80.9;1.1;3.1;7.6
