tanggal,temp_max,temp_avg,temp_min,ev_pan,dew point,rh,ws_avg,ws_max,sr,pp_air
10/1/2021,33.2,29.7,27.2,4.2,24.5,73.8,5.1,1.2,8,1010.3
10/2/2021,31,28.9,25.6,4.3,23.8,74,2.6,1,3.2,1009.9
10/3/2021,32.8,29.5,26.8,4,23,68.2,6.7,2.2,3,1009.3
10/4/2021,32.2,28.1,25.4,5.8,23.2,74.6,5.7,1.2,7.7,1008.8
10/5/2021,33,29.2,26.2,3.4,22.9,68.6,6.2,1.4,4.6,1007.9
10/6/2021,32.4,28.9,25.8,5,23.4,72.4,3.6,0.9,6.8,1008.1
10/7/2021,32.4,29.3,25.8,3.6,22.4,66.4,7.7,1.6,5.5,1008.9
10/8/2021,31.6,29.1,26.6,6.2,23.4,71.1,5.1,1.3,6.4,1009.7
10/9/2021,33.4,30.3,27.4,3.3,24,69.2,7.2,1.8,5.6,1009
10/10/2021,33.2,29.9,27,5.5,24,70.5,5.1,1.7,9.8,1008.8
10/11/2021,33.4,29.5,26.6,5,22.8,67.4,9.3,2.4,7,1008.2
10/12/2021,32.8,30.2,27.4,6.6,23.4,67.1,5.1,1.1,5.8,1007.5
10/13/2021,32.8,30.2,27.4,5,23.3,66.5,5.1,1.2,8,1008
10/14/2021,32.8,29.9,27.8,6.8,24.1,71,7.7,1.6,7,1008.1
10/15/2021,34,29.9,26.8,5.2,23.6,68.9,5.1,1.1,2.7,1007.7
10/16/2021,33.2,30.5,27.8,4.8,24.3,69.5,5.1,1.5,5,1008.3
10/17/2021,33.8,30.2,25.2,5,24.7,72.7,3.1,1.3,5.7,1008.9
10/19/2021,32.2,28.4,26.2,2.7,23.5,75.1,5.1,1.4,0,1013.1
10/20/2021,32.4,29,26,3.2,24.5,77.1,3.6,1,2.6,1012
10/21/2021,31.4,28.9,26,4.9,24.4,76.8,5.1,1,5.8,1011.4
10/22/2021,32.4,29.4,26.6,4,23.8,71.9,5.1,1.3,4,1012.2
10/23/2021,32.8,29.7,27,4,24.4,73.1,5.1,1.3,3.5,1011.4
10/24/2021,33.2,30.3,27.6,6,24.3,70.5,4.1,1.2,3.6,1010.2
10/25/2021,32.6,28.9,26.2,5.5,23.9,74.5,3.6,1.4,8,1009.4
10/26/2021,33.8,30,26.4,3,24.3,71.9,5.1,1.4,3.2,1009.3
10/27/2021,32.6,28.1,25.4,4.7,24.6,81.3,7.2,1.8,6,1010.3
10/28/2021,31.2,26.9,25,5.1,24.5,86.6,4.1,0.9,3.4,1011.3
10/29/2021,32.4,29.3,26,2.2,23.7,71.8,5.1,1.5,2,1011.6
10/30/2021,32.6,29,26.6,5.5,24.4,76.3,5.7,1.8,8,1011.1
10/31/2021,32.8,28.9,26.8,5.1,24.2,75.8,4.1,1.1,7.2,1010.5
11/1/2021,31.2,27.5,25.8,4.2,24.6,84.2,3.6,0.8,4.5,1011.1
11/2/2021,31.8,28.3,25.8,2,23.7,76.1,5.1,1.2,1.6,1010
11/3/2021,31.8,28.8,26.4,5,24.2,76.5,3.6,0.8,6,1009.4
