tanggal,rr,temp_max,temp_avg ,temp_min,ev_pan,pp_air,rh,dew point,sr,ws_max,ws_avg
08/19/2021,0.0,31.4,28.8,25.4,4.8,1004.4,68.0,24.0,7.8,5.7,2.6
08/20/2021,0.0,30.8,28.7,24.9,4.6,1005.4,67.0,23.9,9.5,3.6,2.3
08/21/2021,0.0,32.2,29.4,24.8,4.9,1005.6,61.0,23.9,6.6,4.1,2.8
08/22/2021,0.0,31.2,28.4,24.0,5.1,1005.6,65.0,23.4,11.1,5.1,2.8
08/23/2021,0.0,31.0,28.6,25.2,4.9,1005.4,65.0,23.3,10.5,4.1,2.9
08/24/2021,0.0,29.7,27.9,24.8,5.2,1006.0,52.0,22.5,9.8,4.1,2.4
08/25/2021,0.0,30.6,28.5,24.2,5.0,1006.0,65.0,22.7,8.5,4.1,2.3
08/26/2021,0.0,30.6,28.2,23.2,4.7,1004.7,65.0,23.1,10.7,4.6,2.5
08/27/2021,0.0,30.0,28.3,25.2,4.4,1005.0,72.0,24.0,10.7,4.6,2.3
08/28/2021,0.0,30.5,28.5,25.5,4.0,1004.2,69.0,24.2,7.9,5.1,2.4
08/29/2021,0.0,31.2,29.1,24.8,4.9,1004.0,69.0,24.3,8.2,5.1,2.7
08/30/2021,0.0,31.6,29.2,26.0,4.6,1004.3,66.0,24.0,9.0,4.1,2.6
08/31/2021,0.0,31.4,29.0,25.0,5.2,1005.1,61.0,23.1,11.1,4.1,2.4
09/01/2021,0.0,31.5,28.4,24.0,6.5,1005.4,63.0,23.5,11.2,4.6,2.3
09/02/2021,0.0,30.0,27.8,24.2,4.9,1005.9,68.0,23.1,11.3,5.1,2.7
09/03/2021,0.0,31.0,28.2,25.1,5.2,1005.3,67.0,23.4,7.2,4.1,2.4
09/04/2021,0.0,29.2,28.0,26.2,4.2,1005.5,75.0,23.7,8.4,4.6,2.6
09/05/2021,0.0,31.6,28.4,24.8,3.8,1005.7,66.0,23.8,3.7,3.6,2.1
09/06/2021,8888.0,32.0,29.1,25.4,3.7,1005.4,71.0,24.7,3.7,3.6,2.1
09/07/2021,0.0,31.6,29.4,25.8,4.1,1005.4,66.0,24.0,7.5,5.1,2.8
09/08/2021,8888.0,31.4,29.2,26.0,4.7,1005.0,64.0,23.2,10.8,5.1,3.4
09/09/2021,0.0,31.8,29.4,25.4,6.4,1005.4,60.0,23.3,9.5,4.1,2.5
09/10/2021,0.0,31.8,29.1,24.6,4.9,1005.7,66.0,24.3,8.0,5.7,2.6
09/11/2021,4.4,31.0,27.8,25.8,5.8,1004.7,68.0,24.7,7.6,3.1,1.5
09/12/2021,3.0,29.2,27.0,25.2,2.3,1004.3,80.0,24.7,0.9,3.6,0.9
09/13/2021,2.1,30.2,27.1,25.4,2.9,1005.2,80.0,24.7,1.6,2.1,0.5
09/14/2021,2.5,31.2,26.9,25.0,1.7,1005.7,95.0,24.7,1.1,2.1,0.8
09/15/2021,51.5,31.8,29.5,25.8,4.0,1006.2,65.0,23.9,5.8,3.6,1.6
09/16/2021,0.0,31.4,28.6,25.2,6.1,1005.5,68.0,24.1,10.8,3.6,2.6
09/17/2021,8888.0,31.0,28.9,26.6,3.7,1005.1,71.0,24.2,5.6,4.6,2.9
09/18/2021,8888.0,31.4,29.5,26.7,3.7,1005.2,66.0,23.8,8.8,5.1,3.0
09/19/2021,0.0,31.2,29.1,26.2,5.4,1006.0,65.0,23.4,10.3,5.1,2.8
09/20/2021,0.0,30.8,28.6,26.6,4.8,1005.1,66.0,23.8,10.7,4.1,2.5
09/21/2021,8888.0,31.3,28.6,25.5,4.4,1004.7,65.0,23.9,4.2,4.1,1.4
09/22/2021,8888.0,31.6,29.4,24.4,3.9,1005.0,62.0,23.6,3.9,4.1,1.9
