tanggal,temp_max,temp_avg,temp_min,ev_pan,dew point,rh,ws_avg,ws_max,sr,pp_air
10/1/2021,31.2,29.5,27.6,8.1,24.8,75.8,1.9,5.1,10.7,1010.2
10/2/2021,30.5,28.8,26.4,3.3,24.1,76.2,2.1,5.1,4,1009.6
10/3/2021,32.7,29.7,26.8,3.8,23.6,69.8,1.8,3.1,3.4,1009.6
10/4/2021,32.8,28.8,26.4,4.3,23.4,72.6,2.3,5.7,8.5,1008.6
10/5/2021,32.6,29.5,26.7,7,23.4,69.7,2,4.6,3.3,1007.7
10/6/2021,31.7,29,26.4,3.6,23.8,73.6,2,4.1,8.2,1007.8
10/7/2021,32.4,29.7,26.6,5.5,23,67.2,1.9,4.6,7,1008.7
10/8/2021,32.3,29.6,26.9,4.9,24,71.6,1.8,4.1,8.2,1009.6
10/9/2021,33.2,30.3,27.6,9.1,24.1,69.3,2.1,4.1,8.8,1009.1
10/10/2021,33.2,30.2,27.6,1.8,24.4,70.9,2,5.1,8.2,1008.5
10/11/2021,33.2,29.9,27,5.2,23.3,67.8,1.5,4.6,5.1,1007.9
10/12/2021,32.8,30.5,27.8,,23.6,66.5,2,5.7,,1007.2
10/13/2021,33.1,30.4,27.8,6.1,23.6,67.1,1.4,4.6,5.6,1007.8
10/14/2021,33.3,30.6,28.1,5.1,24.6,70.4,1.8,4.6,7.9,1007.8
10/15/2021,33.8,30.2,27.6,5.6,23.9,69.1,2.3,4.6,2.4,1007.3
10/16/2021,33.2,30.4,27.2,5,24.4,70.5,2,3.6,10.8,1008.4
10/17/2021,32.8,30.2,24.6,5.7,25,73.9,2.8,5.1,8.4,1008.7
10/19/2021,31.8,28.6,25.8,0.8,23.7,74.6,2.4,6.2,0,1012.8
10/20/2021,32,28.7,24.4,3.6,24.3,77.3,1.8,3.6,5.3,1011.9
10/21/2021,32.4,29.3,26.5,12.9,24.7,76.4,2.1,3.6,7.3,1011.4
10/22/2021,31.8,29.2,26.4,2.6,24.4,75.6,1.5,4.1,7.2,1012
10/23/2021,32,29.7,26.6,5.2,24.6,74.5,1.6,4.1,5.1,1011.4
10/24/2021,33,30.6,28.1,4.9,24.7,70.9,1.4,4.6,6.1,1010
10/25/2021,33.2,29.6,26.8,6.2,23.8,71.3,1.4,6.2,11.2,1008.9
10/26/2021,33.2,30,26.1,3.7,24.4,71.9,2.3,3.6,9.3,1009.5
10/27/2021,31.8,28.2,25.4,5.7,24.8,82.1,1.8,4.6,8.7,1010.2
10/28/2021,31.1,27.2,25.3,4,24.2,83.4,2.2,7.7,5.2,1011.2
10/29/2021,32.4,29.6,26.1,5.2,23.9,71.9,0.1,1.5,0,1011.4
10/30/2021,32,28.9,26.6,7.5,24.5,77,1.5,4.1,9.8,1010.8
10/31/2021,32.9,29.2,27.2,5.9,24.5,75.9,1.1,4.1,9.6,1010.1
11/1/2021,31.5,27.9,25.9,4.6,24.6,82.4,1.7,3.6,6.6,1011
11/2/2021,31.8,28.6,26.2,4,23.7,75.3,2.1,6.7,1.5,1009.8
11/3/2021,32.6,29.2,26.4,4.7,24.4,75.6,1.4,3.6,8.7,1009.2
11/4/2021,32.6,28.9,26.9,4.5,24.7,78,1.8,6.2,8.4,1008.6
11/5/2021,29.5,27.8,26,3.3,24.2,80.9,1.1,3.1,7.6,1009.1
11/6/2021,32.6,29.6,27,1.8,24.6,74.7,1.7,3.1,2.5,1006.5
11/7/2021,32.8,27.8,25.3,6.1,24.3,81.2,1.6,3.6,10.6,1007.4
11/8/2021,31.8,29.3,25.2,5.5,24.5,75.4,1.9,4.6,3.6,1007.6
11/9/2021,32,29.4,26.8,3.7,24.7,76,1.8,4.1,5.9,1008.3
11/10/2021,32.5,28.7,26.2,7.2,23.7,74.7,2.1,4.6,8.2,1009.3
11/11/2021,31.4,29.1,26.7,1.3,23.5,71.8,1.5,2.6,0.4,1009
11/12/2021,33.8,28.4,24.2,7.5,23.3,73.7,1.6,5.1,0,1009.2
11/13/2021,31,27.9,26.2,0.8,24.5,81.8,1.4,3.1,2.4,1009.4
11/14/2021,33.2,29.5,26.4,2.8,24,72.5,2.7,5.7,2,1008.8
11/15/2021,29.6,27.9,26.1,4.8,23.1,75.5,2.6,4.6,5.8,1009.3
11/16/2021,32.8,29.7,26.8,2.8,23.7,70.2,2.4,6.7,0,1008.5
11/17/2021,33.8,29.6,26.8,3.7,24.5,74.2,1.6,3.6,3,1008.5
11/18/2021,32.3,29.2,26.7,6.5,24,73.8,2.7,4.6,4.1,1007.3
11/19/2021,30.6,28.2,26.8,4.5,22.5,71.1,3.5,10.8,3.5,1007.3
11/20/2021,32.2,28.6,26.4,2.3,24.2,76.9,2,4.6,0.2,1007.7
11/21/2021,33.4,29.8,27.2,3.6,24.8,74.5,3.5,5.7,3,1008.1
11/22/2021,32.8,29.1,26.2,3.9,24.1,74.3,4.4,6.2,7.5,1007.9
11/23/2021,31.6,28.2,26,5.4,22.4,70.9,6.1,12.9,2.4,1008.6
11/24/2021,33.7,29.5,27,4.4,22.8,67.5,2.8,4.1,1.7,1008.7
11/25/2021,32.8,29.8,27.4,2.8,23.1,67.4,2.8,5.1,0.5,1008.3
11/26/2021,32.4,27.7,25.4,3.2,24.1,80.8,2.4,5.7,3,1008.9
11/27/2021,33.5,27.3,24.3,7.7,22.8,76.2,5.2,11.3,4.3,1009.6
11/28/2021,33,28.1,25.5,5.3,23.3,75,4.6,9.3,3.5,1008.8
11/29/2021,32.4,29.1,26.6,4.3,23.2,70.3,3.2,6.7,2.1,1007.9
11/30/2021,31.2,29.1,27.6,4.9,23.8,73.3,2.1,4.6,3.3,1008.7
12/1/2021,34.2,30.3,27.6,3.2,22,61.3,3,5.1,0.7,1009
12/2/2021,34.3,30.4,27.4,4.3,23.9,68.1,3.8,7.2,4.8,1009.1
12/3/2021,32.5,29.6,28,6.5,24,71.9,2.5,3.6,8.9,1009.7
12/4/2021,28.4,26.6,25.6,0.2,23.3,82.2,1.9,5.7,1.2,1011
12/5/2021,27.6,26.4,24,1.7,23.4,83.8,1.8,10.8,0,1010.4
12/6/2021,31.5,26.9,24.2,0.6,24,84.2,1.5,6.7,0,1009.6
12/7/2021,28.8,27.1,24.2,8.1,24.5,85.7,1.8,5.7,3.6,1010.3
12/8/2021,31.6,28.4,25.7,4.8,24.9,81.5,2.5,8.7,0,1010.2
12/9/2021,30.1,28.1,26,8.2,24.8,82,2.3,4.6,9.6,1010.6
12/10/2021,31.2,28.4,25,3.6,24.7,80.5,2.1,4.6,2.6,1010.7
