Tanggal,Mataram,Jerowaru,Pemenang,Praya Barat Daya,Praya,Sekarbela,Santong,Sembalun
08/19/2021,0,0,0,0,0,0,0,0
08/21/2021,0,0,0,0,0,0,0,0
08/22/2021,0,0,0,0,0,0,0,0
08/23/2021,0,0,0,0,0,0,0,0
08/24/2021,0,0,0,0,0,0,0,0
08/25/2021,0,0,0,0,0,0,0,0
08/26/2021,0,0,0,0,0,0,0,0
08/27/2021,0,0,0,0,0,0,0,0
08/28/2021,0,0,0,0,0,0,0,0
08/29/2021,0,0,0,0,0,0,0,0
08/30/2021,0,0,0,0,0,0,0,0
08/31/2021,0,0,0,0,0,0,0,0
09/01/2021,0,0,0,0,0,0,0,0
09/02/2021,0,0,0,0,0,0,0,0
09/03/2021,0,0,0,0,0,0,0,0
09/04/2021,0,0,0,0,0,0,0,0
09/05/2021,0,0,0,0,0,0,0,0
09/06/2021,0,0,0,0,0,0,0,0
09/07/2021,0,0,0,0,0,0,0,0
09/08/2021,0,0,0,0,0,0,0,0
09/09/2021,0,0,0,0,0,0,0,0
09/10/2021,0,0,0,0,0,0,0,0
09/11/2021,0,0,0,0,0,0,0,0
09/12/2021,0,0,0,0,0,0,0,0
09/12/2021,0.4,0,0,0,0,0.4,0,0
09/13/2021,0.4,0,0,0,0,0.4,0,0
09/14/2021,-4.6,0,0,0,0,0,-1.4,0
09/15/2021,0.6,-0.2,0,-2,1.4,8.6,-7,0
09/16/2021,-2,0,0,-2.4,-4.4,-10.4,0,0
09/17/2021,0,0,0,0,0.4,0,0,0
09/18/2021,0,0,0,0.2,-0.2,0,0.2,0
09/19/2021,0,0,0,-0.2,-0.2,0,3.6,0
09/20/2021,0,0,0,0,0,0,0,0
09/21/2021,3.8,0,0,0,1.8,1.8,29.2,25.2
09/22/2021,14.6,0,0,0,0,0,0,0
09/23/2021,0.2,1.6,0,0.2,0,0,0,0
09/25/2021,12.2,0,0,0,0.4,0,0,0
09/26/2021,1,0,0,0,0,1.2,10,0.6
09/27/2021,0,1.6,0,0,0,0,0.6,0.2
09/28/2021,0,0,0,0,0,0,0,0
09/29/2021,0,0.4,0,0,1.6,0,0,0
09/30/2021,0,0,0,0,0,0,0,0
10/01/2021,0,0,0,0,0,0,0,0
10/02/2021,0,0,0,0,0,0,0,0
10/03/2021,,,,,,,,
10/04/2021,0,0,0,0,0,0,0,0
10/05/2021,0,0,0,0,0,0,0,5.6
10/06/2021,0,0,0,0,0,0,0,0
10/07/2021,0,0,0,0.4,0,0,0,0
10/08/2021,0,0,0,0,0,0,0,0
10/09/2021,0.2,0.4,0,0,0.4,0,0,0
10/10/2021,0.2,6.4,0,0,0.2,0,0,0
10/11/2021,0,0,0,0,0,0,0,0
10/12/2021,0,0,0,0,0,0,0,0
10/13/2021,,,,,,,,
10/14/2021,0,0,0,0,0,0,0,0
10/15/2021,0,0,0,0,0,0,0,0
10/16/2021,0,0,0,0,0,0,0,0
10/17/2021,0.4,1.2,0,0,2.8,0,0,0
10/19/2021,14,0,0,0,0,0,0,0
10/20/2021,3.2,0,0,0.4,0.2,0,7.4,0
10/21/2021,0,0,0,0,0,0,0,0
10/22/2021,0.4,0,0,4.8,4.2,0,0.4,0
10/23/2021,0,0,0,0.2,0,0,0,0
10/24/2021,0,0,0,0,0,0,0,0
10/25/2021,0,0,0,0,0,0,0,0
10/26/2021,0,0,0,0,0.2,0,0,0
10/27/2021,15.2,34.6,0,11.6,23.2,0,36,0
10/28/2021,14.6,0.4,0,8.4,107.2,0,0,0
10/29/2021,29,1,0,0,246.8,0,0.2,0.2
10/30/2021,3.8,0.2,0,4.6,12.2,0,0,0.2
10/31/2021,5.6,2,0,0,5.8,0,3.4,1.6
