rmse,mae,r2,metode,Tipe
3.822,2.49,0.93,S-T Rainfall+All Meteorogical Variables,Tipe 1
2.689,1.452,0.839,S-T Rainfall+All Meteorogical Variables,Tipe 1
5.161,2.603,0.739,S-T Rainfall+All Meteorogical Variables,Tipe 1
4.023,2.399,0.886,S-T Rainfall+All Meteorogical Variables,Tipe 1
5.902,2.448,0.908,S-T Rainfall+All Meteorogical Variables,Tipe 1
6.157,3.123,0.874,S-T Rainfall+All Meteorogical Variables,Tipe 1
4.556,2.533,0.835,S-T Rainfall+All Meteorogical Variables,Tipe 1
7.057,3.391,0.806,S-T Rainfall+All Meteorogical Variables,Tipe 1
5.032,2.457,0.889,S-T Rainfall+All Meteorogical Variables,Tipe 1
5.541,2.671,0.816,S-T Rainfall+All Meteorogical Variables,Tipe 1
5.383,2.733,0.842,S-T Rainfall+All Meteorogical Variables,Tipe 1
6.766,3.248,0.806,S-T Rainfall+All Meteorogical Variables,Tipe 1
3.447,1.933,0.943,S-T Rainfall+Related Meteorological Variables ,Tipe 2
2.764,1.39,0.83,S-T Rainfall+Related Meteorological Variables ,Tipe 2
4.829,2.354,0.771,S-T Rainfall+Related Meteorological Variables ,Tipe 2
3.896,2.203,0.894,S-T Rainfall+Related Meteorological Variables ,Tipe 2
5.546,2.446,0.918,S-T Rainfall+Related Meteorological Variables ,Tipe 2
5.747,2.894,0.891,S-T Rainfall+Related Meteorological Variables ,Tipe 2
4.25,2.251,0.857,S-T Rainfall+Related Meteorological Variables ,Tipe 2
6.091,2.765,0.868,S-T Rainfall+Related Meteorological Variables ,Tipe 2
4.696,2.372,0.874,S-T Rainfall+Related Meteorological Variables ,Tipe 2
5.435,2.572,0.823,S-T Rainfall+Related Meteorological Variables ,Tipe 2
5.19,2.647,0.853,S-T Rainfall+Related Meteorological Variables ,Tipe 2
6.693,3.128,0.811,S-T Rainfall+Related Meteorological Variables ,Tipe 2
