Tanggal,rainfall,temperature_max,temperature_avg,humidity_avg
2022-01-01 00:00:00+00,0,32.73,27.22,78.01
2022-01-02 00:00:00+00,7,32.56,26.85,78.71
2022-01-03 00:00:00+00,1,32.43,27.15,76.25
2022-01-04 00:00:00+00,0,33.69,28.17,64.53
2022-01-05 00:00:00+00,0,33.02,27.56,76.69
2022-01-06 00:00:00+00,0,33.28,27.27,80.57
2022-01-07 00:00:00+00,1,33.46,26.73,82.49
2022-01-08 00:00:00+00,22.5,34.42,26.47,84.03
2022-01-09 00:00:00+00,0,33.42,26.96,83.34
2022-01-10 00:00:00+00,0,32.79,27.58,77.11
2022-01-11 00:00:00+00,2,32.06,26.62,84.17
2022-01-12 00:00:00+00,1,32.02,25.82,89.16
2022-01-13 00:00:00+00,30.5,30.05,24.98,91.74
2022-01-14 00:00:00+00,18.5,30.33,25.87,87.6
2022-01-15 00:00:00+00,0.5,29.27,25.88,90.24
2022-01-16 00:00:00+00,23.5,29.3,25.64,91.68
2022-01-17 00:00:00+00,0,29.81,26.56,88.42
2022-01-18 00:00:00+00,0,32.05,27.14,84.32
2022-01-19 00:00:00+00,44.5,28.55,24.74,96.47
2022-01-20 00:00:00+00,3,30.36,26.18,87.19
2022-01-21 00:00:00+00,0,29.23,24.58,90.32
2022-01-22 00:00:00+00,4,31.84,26.62,78.45
2022-01-23 00:00:00+00,10.5,30.92,26.56,85.27
2022-01-24 00:00:00+00,0,33.77,28.16,71.3
2022-01-25 00:00:00+00,27.5,34.39,26.48,85.39
2022-01-26 00:00:00+00,1,31.64,26.95,82.2
2022-01-27 00:00:00+00,0,30.68,26.29,85.51
2022-01-28 00:00:00+00,0,32.22,27.14,79.2
2022-01-30 00:00:00+00,0,33.18,27.23,77.04
2022-01-31 00:00:00+00,0,33.74,26.7,82.48
2022-02-01 00:00:00+00,0.5,32.61,27.38,82.84
2022-02-03 00:00:00+00,2,29.61,25.32,92.41
2022-02-04 00:00:00+00,0.5,32.73,27.09,81.2
2022-02-05 00:00:00+00,53,32.19,25.34,90.97
2022-02-06 00:00:00+00,0,29.23,25.76,88.94
2022-02-10 00:00:00+00,0,31.95,26.07,81.8
2022-02-11 00:00:00+00,0,30.65,25.69,80.98
2022-02-12 00:00:00+00,0,32.94,27.81,72.14
2022-02-15 00:00:00+00,1,30.36,26.32,74.03
2022-02-18 00:00:00+00,356,32.56,24.88,93.01
2022-02-19 00:00:00+00,10,30.75,25.12,95.07
2022-02-20 00:00:00+00,0,31.57,26.15,89.79
2022-02-21 00:00:00+00,14,31.24,25.42,90.99
2022-02-24 00:00:00+00,0.5,33.08,26.76,78.51
2022-02-25 00:00:00+00,0,33.57,28.24,64.93
2022-02-26 00:00:00+00,4,30.68,25.82,79.55
2022-02-27 00:00:00+00,14,31.64,24.96,88.56
2022-02-28 00:00:00+00,0,32.02,26.31,82.15
2022-03-01 00:00:00+00,5,29.99,26.1,88.86
2022-03-02 00:00:00+00,5,27.3,24.8,94.17
2022-03-03 00:00:00+00,14,31.71,26,86.62
2022-03-04 00:00:00+00,0.5,34.49,27.52,77.38
2022-03-05 00:00:00+00,0,31.3,27.09,78.05
2022-03-06 00:00:00+00,8.5,32.97,25.83,86.03
2022-03-07 00:00:00+00,5,33.76,26.86,74.56
2022-03-08 00:00:00+00,0,32.73,26.62,79.71
2022-03-09 00:00:00+00,4,33.67,26.74,85.08
2022-03-10 00:00:00+00,1,32.54,25.39,92.63
2022-03-12 00:00:00+00,8,33.74,27.2,82.25
2022-03-13 00:00:00+00,0,32.78,27.2,82.24
2022-03-14 00:00:00+00,0,33.09,27.31,88.58
2022-03-16 00:00:00+00,6.5,30.07,25.34,94.08
2022-03-17 00:00:00+00,0,32.88,28.17,83.06
2022-03-18 00:00:00+00,0,33.6,27.26,88.67
2022-03-20 00:00:00+00,0,33.05,28.83,69
2022-03-21 00:00:00+00,7.5,35.29,27.92,71.09
2022-03-22 00:00:00+00,18.5,32.16,27.23,76.02
2022-03-23 00:00:00+00,0,34.35,28.5,74
2022-03-25 00:00:00+00,1,34.47,28.14,77.84
2022-03-26 00:00:00+00,0,33.99,28.24,80.29
2022-03-27 00:00:00+00,3,31.75,25.12,91.88
2022-03-28 00:00:00+00,62,34.54,27.04,86.46
2022-03-29 00:00:00+00,0,33.05,27.2,82.76
2022-04-01 00:00:00+00,4.5,34.19,26.52,87.6
2022-04-02 00:00:00+00,0,31.76,27.3,82.05
2022-04-05 00:00:00+00,0.5,35.19,28.89,67.34
2022-04-06 00:00:00+00,49,34.17,26.02,83.58
2022-04-08 00:00:00+00,47,34.32,27.08,80.84
2022-04-09 00:00:00+00,0,34.63,28.51,66.16
