rr,ws_avg,ws_max,wd_avg,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,sr_avg,tt_sea,wl_pan,ev_pan
82,1.9,6.1,120,30.3,29.3,23.9,74.2,1011,342.9,26.04,26.04,
2.8,1.67,4.9,200,30.7,27.98,24.2,73.89,1009.63,165.44,27.42,27.42,0.07
90.6,1.68,6.5,245.56,31,25.38,22.9,85.76,1010.16,156.97,18.81,18.81,0.1
27.2,1.21,7.6,254.17,31.3,26.48,24.4,85.94,1008.88,85.24,26.4,26.4,0.01
25.8,1.18,6.8,272.22,32.3,26.73,24.9,84.34,1007.26,78.38,26.65,26.65,0.09
2.4,2,10.9,262.22,30,26.51,24.2,82.37,1009.64,260.48,24.25,24.25,0.05
100,1.06,7.1,208,29,26.38,24.3,85.69,1009.77,37.72,27.44,27.44,0.15
0,1,3.1,195,28,26.8,25.6,84.9,1010.2,35.8,27.75,27.75,
0.4,1.86,7.2,292.86,28.9,26.33,24.8,86.16,1009.27,165.54,146.47,146.47,0
0,1.6,5.8,277.5,31.9,27.55,25.2,80.68,1006.15,88.25,17.13,17.13,0.03
24,0.87,4.3,220,29.7,26.05,24.6,88.08,1009.43,61.12,24.39,24.39,0.1
0,1.95,5.8,275,30.4,28.63,25.7,73.95,1010.38,246.38,29.53,29.53,0.05
32.8,1.64,8,195.83,31.3,27.48,24.4,79.93,1007.67,210.8,27.22,27.22,0.03
14.4,1.66,5.3,266,32.4,26.78,25.2,84.1,1010.14,50.64,13.1,13.1,0
10.6,1.19,5.5,225,30.1,25.9,23.8,86.14,1007.9,81.24,155.58,155.58,0
11.4,3.04,10.6,282,32.1,27.04,10.5,80.84,1006.36,440.54,14.7,14.7,
0.8,0.9,5.9,145,31.7,28.58,26,77.57,1008.43,76.8,23.45,23.45,0
69.4,1.41,10.7,256.67,31.7,26.84,24.8,83.36,1007.79,137.66,21.93,21.93,0
0,1.83,6.8,317.06,31.3,27.38,25.2,75.64,1009.32,231.36,27.53,27.53,0.07
2,1.9,8.7,247.27,32.4,28.9,25.6,75.25,1010.15,236.51,30.8,30.8,0.15
4.8,2.5,9.8,261.36,32.9,29.07,25.5,74.86,1009.71,386.96,30.32,30.32,0.09
0.8,1.8,7.6,248.18,31.5,28.53,25.6,75.07,1010.08,207.8,30.05,30.05,0.1
0,1.54,8.3,256.82,31.8,28.2,24.3,71.68,1010.53,183.19,30.56,30.56,0.07
0,1.77,6.5,227.73,31.8,28.59,24.9,72.72,1010.75,246.85,30.3,30.3,0.12
0.4,1.72,6.8,202.27,32.3,28.46,25.8,73.73,1010.89,261.95,29.97,29.97,0.03
2.6,1.62,6.4,230.45,32.1,28.83,25.6,72.34,1011.29,176.8,29.68,29.68,0.17
69.2,1.89,11.2,225.91,31.9,27.2,23.5,80.96,1011.66,263.73,29.91,29.91,0.02
21.4,1.66,6.2,254.09,32.4,28.37,24.5,78.14,1010.25,149.69,29.81,29.81,0.11
2.4,1.96,8.1,257.27,32.1,28.11,24.9,79.68,1009.34,249.13,30.6,30.6,0.03
17.2,1.61,8.4,261.9,31.3,27.78,25.1,80.52,1009.76,176.53,29.75,29.75,0.1
34.2,2.34,11.4,270.45,32.2,26.86,24,82.29,1010.46,392.86,29.05,29.05,0.1
6.2,1.87,9.2,277.73,30.4,26.78,24.5,81.93,1010.83,247.15,28.35,28.35,0.1
38.8,1.78,14.3,252.73,30.1,26.35,24.1,85.52,1010.71,180.79,27.8,27.8,0.05
0.2,1.74,7.1,294.55,32.6,27.59,24.6,78.6,1009.91,205.21,29.4,29.4,0.12
3,1.7,10.2,262.73,31.9,27.38,24,78.89,1009.92,207.48,28.17,28.17,0.06
0,2,7.1,299.09,34.1,29.75,24.9,71.18,1009.43,299.06,30.62,30.62,0.03
0,2.31,10.3,256.67,32.9,29.53,26.1,72.12,1009.11,384.17,26.61,26.61,0.06
11.8,2,10.4,262.27,32.6,28.26,25.5,78.45,1008.36,313.57,30.52,30.52,0.17
105.2,2.1,10.6,244.09,32.3,27.16,24.1,82.76,1008.38,282.04,29.26,29.26,0.2
6.4,1.51,26.3,267.73,30.4,26.78,24.7,83.41,1009.69,179.92,28.31,28.31,0.09
6.4,1.79,8,272.73,30.8,27.6,24.8,78.99,1009.69,195.25,30.01,30.01,0.2
0.6,1.61,8.4,270,31.8,28.33,25.1,76.2,1009.4,214.47,30.7,30.7,0.03
1.4,1.85,8.2,258.64,30.8,27.59,25.4,81.25,1009,239.33,29.18,29.18,0.11
0,2.39,9.8,265,32.4,29.1,25.5,75.03,1007.59,353.72,30.82,30.82,0.08
1.4,2.63,10.6,274.09,33.8,28.5,25,77.23,1007.34,447.81,30.17,30.17,0.03
3,1.9,11.2,284.55,33.3,28.1,25,80.05,1008.2,247.56,30.59,30.59,0.11
16.2,1.88,10.4,267.39,32.1,27.8,25,80.78,1009.36,234.31,28.7,28.7,0.16
2.6,2.05,10.1,279.55,32.4,28.05,24.8,79.85,1009.95,285.01,30.44,30.44,0.08
0,1.78,6.7,249.52,33.1,28.38,25.1,75.39,1009.69,237,30.34,30.34,0.07
4,1.7,11.1,242.27,31.8,27.67,24.2,77.73,1009.37,188.65,29.25,29.25,0
3.8,2.09,9.3,283.04,33.2,27.68,24.7,78.33,1008.94,285.39,29.71,29.71,0.11
1.4,1.84,7,280,32.3,28.02,24.8,75.47,1008.52,236.56,29.18,29.18,0.16
24.6,1.73,11.4,290.95,34.1,27.3,23.9,79.48,1009.59,228.27,28.08,28.08,0.22
21.6,1.69,6.4,240,31.8,27.63,24.5,79.88,1009.04,220.8,30.26,30.26,0.08
21.8,2.04,8.5,246.36,32.7,28.05,24.9,78.56,1008.03,295.65,30.19,30.19,0.07
2.8,1.71,8.9,250,30.2,26.61,24.5,85.76,1007.93,220.91,27.65,27.65,0.16
7,1.06,7.5,245,33.1,28.33,25.1,76.49,1007.24,128.58,29.05,29.05,0.14
0.2,2.97,10.6,336.67,30.4,28.32,26.1,70.84,1007.52,613.04,27.48,27.48,0
0.2,2.16,10.3,305.5,33.6,29.61,26.3,70.16,1008.75,382.03,30.19,30.19,0.08
1.8,2.51,12.3,271.9,32.1,27.22,24.4,79.27,1008.69,426.95,28.15,28.15,0.09
0,1.4,4.9,253.18,32.8,28.97,24.8,72.25,1007.23,166.1,30.86,30.86,0.1
