tanggal,rr,pp_air,rh_avg,sr_avg,wd_avg,ws_avg,ws_max,tt_air_avg,tt_air_max,tt_air_min,tt_sea,wl_pan,ev_pan
9/15/2021,24.8,1012.8,89.01,113.54,158.75,1.51,,25.45,,,26.06,26.06,
9/16/2021,34.4,1011.99,85.53,300.51,133.75,2.26,,26.73,,,29.13,29.13,
9/17/2021,63,1011.56,82.98,560.08,115,3.08,,27.15,,,28.71,28.71,
9/18/2021,0,1011.66,82.3,734.53,117.5,3.8,,27.28,,,28.83,28.83,0.22
9/19/2021,0,1012.47,81.66,721.73,115,3.66,,27.26,,,28.92,28.92,
9/20/2021,2.4,1013.01,81.09,636.41,122.5,3.35,,27.19,,,28.65,28.65,0.03
9/21/2021,25.8,1012.06,85.15,372.21,123.75,2.41,,25.61,,,26.4,26.4,
9/22/2021,7.4,1011.66,84.44,286.21,195,2.09,,26.61,,,28.58,28.58,4.76
9/23/2021,11.4,1011.64,85.11,389.23,168.75,2.33,,27.07,,,29.21,29.21,
9/25/2021,0.2,1010.68,85.03,628.79,119,3.32,,26.98,,,28.51,28.51,0.08
9/26/2021,0,1009.94,81.7,602.64,113.75,3,,27.34,,,29.11,29.11,0.08
9/27/2021,0.2,1010.05,81.98,649.07,120,3.25,,27.31,,,29.24,29.24,0.07
9/28/2021,0,1010.34,78.86,737.68,122.5,3.69,,26.91,,,28.68,28.68,0.08
9/29/2021,0,1011.26,78.01,557.34,102.5,2.8,,26.45,,,27.76,27.76,0.09
9/30/2021,0,1011.03,80.75,535.03,117.5,2.85,,26.94,,,29.04,29.04,0.03
10/1/2021,0,1011.78,82.46,527.76,127.5,2.93,,27.18,,,29.33,29.33,0.07
10/2/2021,0,1013.52,78.06,592.36,118,2.84,,28.46,,,31.1,31.1,0.25
10/3/2021,,,,,,,,,,,,,
10/4/2021,5.8,1011.21,82.52,221.04,118.46,2,5.9,25.85,27.4,23.7,25.72,25.72,0.07
10/5/2021,1.8,1010.7,79.19,308.72,122.5,2.04,7,26.55,29.1,24.3,28.45,28.45,0.13
10/6/2021,1.4,1010.28,83.76,378.66,110,2.24,7,25.68,28.3,23.5,27.24,27.24,0.11
10/7/2021,9.6,1010.24,83.92,392.27,122.86,2.38,19.9,25.49,27.5,23.8,26.3,26.3,0.08
10/8/2021,0,1009.6,68,664.64,132,3.34,6.6,28.68,29.2,27.5,34.56,34.56,0.2
10/9/2021,7,1011.61,84.63,334.81,121.88,2.68,8.3,25.99,27.7,24.8,26.93,26.93,0.09
10/10/2021,0,1011.21,78.31,562.53,127.5,3.58,8.5,27.5,30,25.7,87.18,87.18,0.12
10/11/2021,1.6,1010.45,78.47,529.93,133.18,3.2,8.1,27.84,30.1,26.3,29.52,29.52,0.1
10/12/2021,0,1011.97,74.63,679.57,130,3.57,7.8,28.7,29.7,27.2,28.97,28.97,0.13
10/13/2021,,,,,,,,,,,,,
10/14/2021,0,1010.27,74.66,491.57,114.55,2.97,8.2,27.48,30.6,26.1,27.35,27.35,0.03
10/15/2021,0,1010.45,78.13,395.72,116.36,2.66,7.8,27.57,30.4,26.6,28.16,28.16,0.04
10/16/2021,0,1009.88,79.07,216.88,132,2.04,7,27.31,30.2,26.8,78.17,78.17,0.03
10/17/2021,3.6,1010.35,82.31,255.69,112.5,2.14,7.3,27.09,30.5,26.1,26.74,26.74,0.1
10/19/2021,2.8,1013.54,88.09,30.74,228.57,0.93,5.7,26.53,28.7,24.9,26.46,26.46,0.05
10/20/2021,34.8,1014.15,83.19,63.37,187.27,1.3,6.9,27.22,31.7,24.1,25.93,25.93,0.1
10/21/2021,0,1013.72,82.16,142.96,138.89,1.51,6.2,27.92,31.1,25.8,28.1,28.1,0.01
10/22/2021,21.6,1012.55,81.42,408.79,121.43,2.4,7.5,28.19,31.6,24.8,29.51,29.51,0.09
10/23/2021,1,1013.52,82.07,415.51,197.27,2.35,9.2,27.43,31,24.5,69.21,69.21,0
10/24/2021,2.6,1012.56,80.43,374.73,116.88,2.34,6.8,28.09,30.9,25.8,32.08,32.08,0.01
10/25/2021,2.8,1011.35,78.02,356.64,140,2.19,6.8,28.16,30.9,25.9,59.16,59.16,0.09
10/26/2021,3.4,1010.85,80.21,227.6,153.33,1.96,7.1,27.28,30.3,25.4,28.01,28.01,0
10/27/2021,31,1011.25,87.28,179.78,235,1.6,7,26.02,30.1,24.3,26.83,26.83,0.03
10/28/2021,15.8,1012.08,87.42,187.71,178.18,1.58,9.4,26.41,30.4,24.8,28.16,28.16,0.14
10/29/2021,2,1011.81,86.74,167.54,206.25,1.52,6.7,27.01,30.7,25.2,28.23,28.23,0.05
10/30/2021,10.2,1013.08,83.3,210.87,173.64,1.49,7.2,27.63,30.5,25.2,29.25,29.25,0.14
10/31/2021,0,1011.87,85.29,131.55,139.29,1.34,6.7,27.18,30.1,25.5,28.29,28.29,0.09
11/2/2021,14.6,1011.19,83.94,178.7,214.55,1.5,6.8,27.15,31,24.6,29.68,29.68,0.14
11/3/2021,9.2,1011.28,88.91,114.38,220,1.23,8.8,25.9,29.9,24.6,24.83,24.83,0.18
11/4/2021,15.4,1010.14,84.66,201.99,231.43,1.63,6.3,26.89,31.6,24.6,28.34,28.34,0.09
11/5/2021,16.6,1009.65,84.25,161.42,177.86,1.33,9.1,27.52,31.4,25.3,29.14,29.14,0.1
11/6/2021,3.2,1008.32,82.61,202.63,250,1.58,8,28.27,31.8,25.8,30.63,30.63,0.11
11/7/2021,17,1006.98,85,112.33,251.67,1.23,8.8,27.62,32.2,25.7,29.89,29.89,0.02
11/8/2021,4.8,1007.9,85.12,89.87,204.44,1.16,6.8,27.57,30.8,25.6,28.61,28.61,0.16
11/9/2021,0,1008.52,82.78,76.57,108.18,1.32,5.9,27.82,30.8,26.1,28.76,28.76,0.02
11/10/2021,48.8,1009.24,79.21,183.74,164,1.6,6.7,28.23,32.2,24.6,30.18,30.18,0.04
11/11/2021,21.2,1010.94,90.4,38.99,171.43,0.99,4.4,25.73,28.5,24.8,72.29,72.29,0
11/12/2021,5.4,1010.68,86.81,154,155.45,1.49,5.2,26.34,28.7,24.4,27.4,27.4,0.05
11/13/2021,5.8,1011.08,89.83,46.97,145,0.9,5.7,26.13,29.6,24.4,80.67,80.67,0.1
11/14/2021,86,1010.77,87.06,144.49,272.5,1.51,8,26.69,31.8,24.7,28.25,28.25,0.14
11/15/2021,20.2,1010.21,88.26,99.24,249.38,1.23,6.4,26.08,29.3,24.5,125.1,125.1,0.07
11/16/2021,1,1009.29,90.35,28.95,294,0.94,5.7,25.63,28.9,25.1,25.93,25.93,0.04
11/17/2021,25,1010.33,89.76,59.5,173.33,1.17,8.2,25.74,30.7,24.5,27.04,27.04,0.08
11/18/2021,0.4,1009.26,78.38,176.89,253.33,1.73,5.6,27.68,31.7,24.6,27.75,27.75,0.08
11/19/2021,16.4,1007.87,80.23,109.61,182,1.27,6.1,27.75,32.2,25,29.57,29.57,0.07
11/20/2021,11.2,1007.64,86.04,82.8,213.33,1.1,7.4,26.56,30.9,24.2,81.48,81.48,0.04
11/21/2021,9.6,1008.13,85.78,66.99,247.69,1.08,9.3,26.85,31.2,25,28.02,28.02,0.08
11/22/2021,5.4,1008.5,87.21,37.69,197.27,1.05,6,27.54,31.3,25.9,28.25,28.25,0.04
11/23/2021,0,1008.98,79.53,202.93,240,1.5,9.8,28.95,31.9,26.3,28.94,28.94,0.13
11/24/2021,35,1009.65,89.63,57.3,235,1.38,4.4,26.15,28.4,25,26.25,26.25,0
11/25/2021,0.2,1010.33,80.9,29.43,206.67,0.87,6.4,27.87,31.2,26,27.57,27.57,0.1
11/26/2021,0,1009.88,77.68,114.43,190,1.65,6.9,28.73,31.9,25.5,24.62,24.62,0.3
11/27/2021,3.4,1010.16,87.02,79.6,218,1.42,8,26.9,29.7,25.3,23.38,23.38,0
11/28/2021,83.4,1010.42,89.94,150.8,286,2.04,5.5,25.9,26.5,24.2,68.54,68.54,0.4
11/29/2021,0,1011.4,78.97,450,260,3,6.5,27.6,29.7,24.6,26.8,26.8,0.05
11/30/2021,0,,,,,,5.4,,30.4,26,49.67,49.67,
12/1/2021,0,,,,,,3.8,,29.3,26,,26,
12/2/2021,0,,,,,,2.2,,26.3,25.9,,25.9,
12/3/2021,0,,,,,,3,,29.1,28.2,,28.2,
