Lokasi Alat,latitude,longitude,elevasi,jarak,korelasi,intensitas,y_intensity
sunter kodamar,-6.155,106.887,25,0,1.00,3483,1161.00
tomang,-6.167,106.780,2,11.88,0.48,2758.8,919.60
sukapura,-6.132,106.957,2,8.23,0.53,3192.6,1064.20
pulomas,-6.167,106.881,1,1.51,0.64,4025,1341.66
manggarai,-6.207,106.849,8,7.21,0.34,4634.8,1544.93
lebak bulus,-6.304,106.777,39,20.48,0.27,4733,1577.66
kemayoran,-6.155,106.842,1,4.95,0.53,13005.4,4335.13
kelapa gading,-6.167,106.914,1,3.21,0.70,3434.2,1144.73
ciganjur,-6.344,106.799,51,23.09,0.20,3250.2,1083.40
istana,-6.168,106.823,30,7.27,0.72,3223.5,1074.50
manggarai2,-6.207,106.85,33,7.15,0.65,4509.5,1503.16
sunter rawabadak,-6.121,106.897,19,3.92,0.80,3395.4,1131.80
rorotan,-6.133,106.960,23,9.14,0.69,3456,1152.00
bandara halim,-6.262,106.898,26,11.92,0.44,5181.5,1727.16
pakubuwono,-6.233,106.793,54,13.61,0.40,4814.3,1604.76
ragunan,-6.294,106.820,65,17.15,0.32,5275,1758.33
pasar minggu,-6.294,106.836,58,16.44,0.35,5530,1843.33
kapuk,-6.107,106.726,22,18.61,0.69,3195.2,1065.06
kedoya selatan,-6.183,106.75,30,15.53,0.47,4081.3,1360.43
pulo gadung,-6.191,106.905,20,4.45,0.78,3809,1269.66
Sunter Hulu,-6.318,106.92,54,18.47,0.23,5403,1801.00
Setiabudi,-6.201,106.829,29,8.16,0.55,4482,1494.00
waduk melati,-6.198,106.818,25,9.07,0.56,4178,1392.66
cideng,-6.174,106.807,21,9.11,0.70,4006.5,1335.50
karet,-6.198, 106.81,38,9.82,0.57,3896,1298.66
teluk gong,-6.134,106.778,23,12.34,0.70,3218.1,1072.70
